,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
86,-0.5994,Fri Sep 28 09:04:01 +0000 2018,0.262,0.738,0.0,87,"How would you cope if you knew how you might die?

https://t.co/VbAFmeDCXQ",@BBC
85,0.5719,Fri Sep 28 09:40:18 +0000 2018,0.0,0.829,0.171,86,"RT @bbcmusic: How are you celebrating #BBCMusicDay today? 

Here's 9 Things to watch out for, including @George_Ezra reading a bedtime stor…",@BBC
84,-0.296,Fri Sep 28 10:02:06 +0000 2018,0.121,0.879,0.0,85,"❤️ This story of a missing 49-year-old father is the most moving thing you'll watch today. 

https://t.co/8CYggzS9Hj",@BBC
83,0.0,Fri Sep 28 10:24:29 +0000 2018,0.0,1.0,0.0,84,"RT @BBCWomansHour: The 🚨TOP 10🚨 #WomenInMusic on the #WHPowerList have been revealed! 🌟 Featuring the most iconic performers, heads of labe…",@BBC
82,0.6597,Fri Sep 28 11:04:06 +0000 2018,0.082,0.691,0.227,83,"What kind of snack would you be? 🤔

Kids asking Tom Hardy difficult questions is the best thing you'll see today. 😂… https://t.co/8iFXGQhKlz",@BBC
81,-0.5346,Fri Sep 28 12:33:00 +0000 2018,0.345,0.478,0.177,82,"Why do we love bees, but hate wasps? https://t.co/2CM65SLLyE",@BBC
80,0.0,Fri Sep 28 14:03:07 +0000 2018,0.0,1.0,0.0,81,In pictures: Politician mothers take their babies to work. 👶📷 https://t.co/wZ4NmFwkOn https://t.co/BTtyJu1WSX,@BBC
79,0.1531,Fri Sep 28 15:01:02 +0000 2018,0.0,0.882,0.118,80,"😮🐙 You need to watch this seal slap a man with an octopus... 

https://t.co/Njn1fsWeXX",@BBC
78,0.7003,Fri Sep 28 16:03:07 +0000 2018,0.0,0.655,0.345,79,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",@BBC
77,-0.126,Fri Sep 28 18:32:03 +0000 2018,0.089,0.846,0.065,78,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",@BBC
76,0.3595,Fri Sep 28 20:31:03 +0000 2018,0.0,0.865,0.135,77,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",@BBC
75,0.0,Sat Sep 29 06:31:00 +0000 2018,0.0,1.0,0.0,76,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",@BBC
74,0.0,Sat Sep 29 07:03:06 +0000 2018,0.0,1.0,0.0,75,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",@BBC
73,-0.1022,Sat Sep 29 08:05:03 +0000 2018,0.136,0.746,0.118,74,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",@BBC
